id,gender,grade,Teacher,race,hispanic,disability,age_months,iq_1_nonverb,
385,0,0,505,9,1,13,77,,
386,1,0,506,3,0,1,62,111,
387,0,0,506,5,0,1,73,92,
388,0,0,506,5,1,8,72,122,
389,1,0,506,5,0,1,70,114,
390,1,0,506,5,0,1,62,121,
391,0,0,506,5,0,1,68,93,
392,0,0,506,5,0,1,71,106,
393,1,0,506,5,1,16,66,106,
394,1,0,506,5,1,1,70,121,
395,0,0,506,5,0,1,67,103,
396,1,0,506,5,0,1,71,122,
397,0,0,506,5,0,16,61,97,
398,1,0,506,1,1,1,72,95,
399,1,0,506,5,1,1,71,124,
400,1,0,506,5,1,1,66,106,
401,0,0,506,14,0,1,69,109,
402,0,0,506,5,0,1,66,103,
403,1,0,506,5,0,1,63,111,
404,0,0,506,5,0,1,71,119,
405,1,0,506,5,0,1,71,128,
406,0,0,506,5,0,1,68,117,
407,1,0,507,5,0,1,64,133,
408,1,0,507,1,1,1,64,126,
409,1,0,507,1,1,1,66,96,
410,1,0,507,5,0,1,61,114,
411,0,0,507,5,0,1,72,107,
412,0,0,507,3,1,1,68,93,
413,0,0,507,5,0,1,68,96,
414,1,0,507,5,0,1,70,106,
415,1,0,507,5,0,1,72,114,
416,1,0,507,5,1,1,66,129,
417,0,0,507,5,1,1,69,89,
418,0,0,507,5,0,1,67,119,
419,1,0,507,5,1,1,64,119,
420,0,0,507,5,1,1,61,114,
421,0,0,507,5,0,1,61,93,
422,1,0,507,5,0,1,64,114,
423,0,0,507,3,0,1,67,109,
424,1,0,507,14,0,1,69,114,
425,0,0,507,5,0,1,70,96,
426,1,0,507,5,0,1,63,129,
427,0,0,507,5,0,1,75,126,
428,0,0,508,5,0,1,64,119,
429,1,0,508,5,0,1,71,103,
430,0,0,508,5,0,1,69,68,
431,0,0,508,5,0,1,69,74,
432,0,0,508,5,0,1,68,103,
433,0,0,508,3,0,1,67,93,
434,1,0,508,5,0,1,65,97,
435,0,0,508,5,0,1,67,,
436,0,0,508,5,0,1,66,96,
437,0,0,508,5,0,1,65,84,
438,0,0,508,5,0,1,72,88,
439,1,0,508,5,0,1,66,89,
440,1,0,508,5,1,1,70,109,
441,0,0,508,5,1,1,64,,
442,1,0,508,5,0,1,66,89,
443,0,0,508,5,0,1,63,89,
444,0,0,508,5,0,1,66,96,
445,1,0,508,5,0,1,69,100,
446,0,0,508,5,0,1,71,114,
447,0,0,508,3,0,1,75,,
448,1,0,508,5,1,1,72,,
449,1,0,806,14,0,1,63,101,
531,1,0,704,5,0,1,66,106,
532,1,0,704,5,0,1,68,114,
533,0,0,704,5,0,1,71,103,
534,0,0,704,5,0,1,78,99,
535,0,0,704,5,0,1,68,106,
536,1,0,704,5,0,1,71,112,
537,0,0,704,5,0,1,70,109,
538,1,0,704,5,0,1,69,125,
539,1,0,704,5,0,1,61,117,
540,1,0,704,5,0,1,62,124,
541,0,0,704,5,0,1,63,124,
542,0,0,704,5,0,1,68,121,
543,0,0,704,5,0,1,62,121,
544,1,0,704,14,0,1,71,119,
545,0,0,704,5,0,1,61,119,
546,0,0,704,5,0,1,71,93,
547,1,0,704,5,0,1,61,124,
548,1,0,704,3,0,1,71,96,
549,1,0,704,3,0,1,69,112,
550,0,0,704,5,0,1,71,80,
551,0,0,705,5,0,1,68,103,
552,1,0,705,14,0,1,61,123,
553,0,0,705,5,0,1,66,114,
554,0,0,705,5,0,1,62,121,
555,0,0,705,5,1,1,71,117,
556,1,0,705,5,0,1,72,116,
557,0,0,705,6,1,1,71,117,
558,0,0,705,5,0,1,65,125,
559,0,0,705,5,0,1,66,114,
560,0,0,705,5,0,1,67,114,
561,0,0,705,3,0,1,70,117,
562,0,0,705,5,0,1,63,114,
563,1,0,705,5,0,1,69,129,
564,1,0,705,3,0,1,71,100,
565,0,0,705,5,1,1,62,124,
566,1,0,705,5,1,1,64,126,
567,1,0,705,5,0,1,61,119,
568,0,0,705,5,0,1,68,103,
569,1,0,705,5,0,1,63,131,
570,1,0,705,5,0,10,71,122,
571,0,0,706,5,0,4,71,103,
572,1,0,706,5,0,1,62,119,
573,1,0,706,5,1,1,62,126,
574,0,0,706,5,0,1,71,100,
575,1,0,706,9,0,1,65,114,
576,1,0,706,5,0,1,61,135,
577,1,0,706,5,0,1,67,114,
578,0,0,706,5,0,1,65,89,
579,0,0,706,5,0,1,66,114,
580,1,0,706,5,0,1,66,64,
581,0,0,706,3,0,1,64,123,
582,1,0,706,12,0,1,70,122,
583,0,0,706,5,0,1,71,119,
584,0,0,706,5,0,1,61,108,
585,0,0,706,14,0,1,65,97,
586,0,0,706,3,0,1,72,114,
587,0,0,706,5,0,13,61,101,
588,0,0,706,5,0,1,69,125,
589,1,0,706,5,0,1,71,106,
590,1,0,706,14,0,1,73,109,
664,0,0,805,3,0,1,70,64,
665,0,0,805,5,0,1,70,100,
666,1,0,805,5,0,1,66,114,
667,0,0,805,5,0,1,65,105,
668,0,0,805,5,1,1,64,101,
669,1,0,805,5,0,1,69,132,
670,1,0,805,5,1,1,64,97,
671,0,0,805,5,1,1,63,93,
672,1,0,805,5,0,1,61,108,
673,1,0,805,5,0,1,63,114,
674,0,0,805,5,1,1,68,84,
675,1,0,805,5,0,1,65,114,
676,0,0,805,3,0,1,63,114,
677,1,0,805,5,0,1,61,108,
678,0,0,805,5,0,1,62,97,
679,0,0,805,5,1,1,72,95,
680,0,0,805,5,1,1,72,69,
681,0,0,805,5,0,1,67,117,
682,0,0,805,14,0,1,62,105,
683,1,0,805,5,0,1,69,96,
684,1,0,805,5,0,1,74,,
685,1,0,806,5,1,1,66,125,
686,1,0,806,5,0,1,70,130,
687,0,0,806,5,0,1,68,96,
688,0,0,806,3,1,1,67,93,
689,1,0,806,5,0,1,71,138,
690,1,0,806,5,1,1,71,119,
691,1,0,806,5,0,1,71,138,
692,1,0,806,5,1,1,62,117,
693,0,0,806,5,0,1,65,121,
694,0,0,806,5,1,1,72,63,
695,1,0,806,5,0,1,64,121,
696,0,0,806,5,0,1,64,105,
697,1,0,806,5,0,1,69,119,
698,0,0,806,5,0,1,68,132,
699,0,0,806,14,0,1,61,101,
700,0,0,806,5,0,1,72,104,
701,1,0,806,5,0,1,65,117,
702,0,0,806,3,0,1,74,92,
703,0,0,806,5,1,1,79,,
704,0,0,807,3,0,1,66,68,
705,0,0,807,5,0,16,73,116,
706,1,0,807,3,0,1,64,129,
707,1,0,807,5,1,1,63,123,
708,1,0,807,5,0,1,67,119,
709,1,0,807,5,0,1,64,147,
710,1,0,807,5,0,1,61,,
711,1,0,807,3,0,1,61,101,
712,0,0,807,5,0,8,62,93,
713,0,0,807,5,0,8,63,133,
714,1,0,807,5,1,1,62,,
715,0,0,807,5,0,10,64,119,
716,1,0,807,1,1,1,72,101,
717,1,0,807,5,0,1,66,124,
718,0,0,807,5,0,1,63,121,
719,0,0,807,5,1,1,66,112,
720,0,0,807,5,0,1,75,84,
721,1,0,807,14,0,1,65,65,
722,0,0,807,3,0,1,74,88,
723,1,0,807,5,0,1,74,,
724,0,0,807,1,1,10,76,,
725,1,0,808,5,0,1,73,107,
726,1,0,808,5,0,1,69,96,
727,1,0,808,5,0,1,71,124,
728,1,0,808,5,0,1,70,109,
729,0,0,808,5,0,1,65,111,
730,0,0,808,5,0,1,65,114,
731,0,0,808,5,0,1,68,84,
732,1,0,808,5,0,1,69,122,
733,0,0,808,5,0,1,61,105,
734,1,0,808,5,0,10,63,126,
735,1,0,808,5,0,1,71,112,
736,0,0,808,14,0,1,65,114,
737,0,0,808,5,0,1,67,112,
738,0,0,808,5,0,1,71,96,
739,0,0,808,3,0,1,73,92,
740,1,0,808,5,0,1,71,96,
741,1,0,808,5,0,1,64,117,
742,1,0,808,5,0,1,66,119,
743,0,0,808,5,0,1,68,124,
744,0,0,808,5,0,1,66,106,
745,0,0,808,12,0,1,69,,
840,1,0,1103,5,0,1,72,112,
841,0,0,1103,5,1,1,69,100,
842,1,0,1103,5,0,1,64,126,
843,1,0,1103,5,1,1,61,97,
844,1,0,1103,5,0,1,66,124,
845,0,0,1103,5,0,1,76,118,
846,1,0,1103,5,0,1,69,119,
847,1,0,1103,5,1,1,69,119,
848,0,0,1103,5,0,1,66,106,
849,1,0,1103,5,0,1,69,122,
850,1,0,1103,5,0,1,64,101,
851,1,0,1103,5,0,1,68,121,
852,0,0,1103,5,0,1,69,117,
853,0,0,1103,5,0,1,61,123,
854,0,0,1103,5,0,1,73,101,
855,1,0,1103,3,0,1,70,103,
856,1,0,1103,5,0,1,72,109,
857,1,0,1103,5,1,1,71,119,
858,0,0,1103,5,0,1,65,108,
859,0,0,1103,5,1,1,72,122,
860,1,0,1103,3,0,1,72,116,
861,0,0,1103,5,0,1,68,117,
862,0,0,1103,5,0,1,66,117,
863,1,0,1108,5,1,1,61,111,
864,0,0,1108,5,1,1,68,109,
865,0,0,1108,5,1,1,64,89,
866,1,0,1108,5,1,1,69,121,
867,1,0,1108,1,1,1,62,111,
868,0,0,1108,14,0,1,71,117,
869,0,0,1108,5,1,1,71,128,
870,0,0,1108,5,0,1,67,125,
871,1,0,1108,5,0,1,69,117,
872,1,0,1108,5,0,1,64,123,
873,1,0,1108,5,0,1,66,117,
874,1,0,1108,5,0,1,67,112,
875,1,0,1108,3,0,1,72,122,
876,1,0,1108,5,0,1,66,,
877,1,0,1108,5,0,1,72,116,
878,1,0,1108,5,0,1,76,95,
879,0,0,1108,5,1,1,70,106,
880,0,0,1108,5,0,1,63,105,
